RdvClient⯒000001⯒Premier rendez vous⯒Grenoble⯒18/06/2024⯒16:00⯒17:00⯒Christianisme à prendre en compte⯒Lucien⯒Lucien⯒0648591526⯒00004
Obseque⯒000002⯒Enterrement lacroix⯒Grenoble⯒19/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000003⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000004⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000005⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒23:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000006⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒16:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000007⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒17:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000008⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒18:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000009⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000010⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000011⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000012⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000013⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000014⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000015⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000016⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
Obseque⯒000017⯒test⯒Grenoble⯒20/06/2024⯒22:22⯒22:22⯒Famille Lacroix Aucune religion⯒0000001⯒TO-000-TO⯒00001⯒00002⯒00003⯒00004⯒00005
RdvClient⯒000018⯒Premier rendez vous⯒Grenoble⯒14/06/2024⯒16:00⯒17:00⯒Christianisme à prendre en compte⯒Lucien⯒Lucien⯒0648591526⯒00004
